数据集,规范字段名,中文字段名,数据类型,单位,小数位数,默认格式,字段说明
fina_indicator_quarterly,tangibleasset_to_debt,有形资产/负债合计,float,无,2,%.2f,有形资产/负债合计
fina_indicator_quarterly,tangasset_to_intdebt,有形资产/带息债务,float,无,2,%.2f,有形资产/带息债务
fina_indicator_quarterly,tangibleasset_to_netdebt,有形资产/净债务,float,无,2,%.2f,有形资产/净债务
fina_indicator_quarterly,ocf_to_debt,经营活动产生的现金流量净额/负债合计,float,无,2,%.2f,经营活动产生的现金流量净额/负债合计
fina_indicator_quarterly,ocf_to_interestdebt,经营活动产生的现金流量净额/带息债务,float,无,2,%.2f,经营活动产生的现金流量净额/带息债务
fina_indicator_quarterly,ocf_to_netdebt,经营活动产生的现金流量净额/净债务,float,无,2,%.2f,经营活动产生的现金流量净额/净债务
fina_indicator_quarterly,ebit_to_interest,已获利息倍数(EBIT/利息费用),float,无,2,%.2f,已获利息倍数(EBIT/利息费用)
fina_indicator_quarterly,longdebt_to_workingcapital,长期债务与营运资金比率,float,%,2,%.2f,长期债务与营运资金比率
fina_indicator_quarterly,ebitda_to_debt,息税折旧摊销前利润/负债合计,float,无,2,%.2f,息税折旧摊销前利润/负债合计
fina_indicator_quarterly,turn_days,营业周期,float,无,2,%.2f,营业周期
fina_indicator_quarterly,roa_yearly,年化总资产净利率,float,%,2,%.2f,年化总资产净利率
fina_indicator_quarterly,roa_dp,总资产净利率(杜邦分析),float,%,2,%.2f,总资产净利率(杜邦分析)
fina_indicator_quarterly,fixed_assets,固定资产合计,float,无,2,%.2f,固定资产合计
fina_indicator_quarterly,profit_prefin_exp,扣除财务费用前营业利润,float,无,2,%.2f,扣除财务费用前营业利润
fina_indicator_quarterly,non_op_profit,非营业利润,float,无,2,%.2f,非营业利润
fina_indicator_quarterly,op_to_ebt,营业利润／利润总额,float,无,2,%.2f,营业利润／利润总额
fina_indicator_quarterly,nop_to_ebt,非营业利润／利润总额,float,无,2,%.2f,非营业利润／利润总额
fina_indicator_quarterly,ocf_to_profit,经营活动产生的现金流量净额／营业利润,float,无,2,%.2f,经营活动产生的现金流量净额／营业利润
